ID	Target	Tweet	Stance
20001	Donald Trump	@2014voteblue @ChrisJZullo blindly supporting political parties is willfull ignorance, repub or dem. #SemST	AGAINST
20002	Donald Trump	@ThePimpernelX @Cameron_Gray @CalebHowe  Totally agree ...time to get out of the Twitter Peanut Gallery and take "arms #SemST	AGAINST
20003	Donald Trump	@JeffYoung @ThePatriot143 I fully support full repeal. I will work for candidates who I believe will make it happen! #SemST	AGAINST
20004	Donald Trump	@ABC Stupid is as stupid does! Showedhis true colors; seems that he ignores that US was invaded, & plundered,not discovered #SemST	AGAINST
20005	Donald Trump	@HouseGOP we now have one political party. The Socialist party. No more BS. We don't believe you anymore. #SemST	AGAINST
20006	Donald Trump	Donald Trump isn't afraid to roast everyone. #SemST	AGAINST
20007	Donald Trump	Donald Trump for president? I can dig it.  #SemST	FAVOR
20008	Donald Trump	nothing about obamacare changed today what changed is the total exposure of anti-constitutional terrorism at the supremecourt #SemST	AGAINST
20009	Donald Trump	I have one friend, he said he has more accountants than he has nurses. #SemST	AGAINST
20010	Donald Trump	After today SCOTUS has passed more legislation than congress. #tcot #SemST	AGAINST
20011	Donald Trump	@USAlivestrong @scottscameron @ljmljm55 @blondygirl1 @eavesdropann @autumkat @texasflutegal 100% Support #Trump.. #SemST	AGAINST
20012	Donald Trump	@WhipHoyer @CorlessJones haha ACA is far from affordable you bunch of GRUBER idiots! #SemST	AGAINST
20013	Donald Trump	Considering the fact that Bush was a president of this country, I don't see it a joke that Trump is running ! #Election2016 #SemST	AGAINST
20014	Donald Trump	Honestly I am gonna watch #Univision so much more now, just to support the network against #SemST	AGAINST
20015	Donald Trump	@CarmineZozzora Or a supreme court who now re-writes laws from the bench. They have done calisthenics to save o-care, TWICE! #SemST	AGAINST
20016	Donald Trump	BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A #SemST	AGAINST
20017	Donald Trump	@realDonaldTrump  I like Mexicans who come to US legally.  #IStandWithTrump #SemST	AGAINST
20018	Donald Trump	We need Obama out and @realDonaldTrump in the White House ASAP #SemST	NONE
20019	Donald Trump	RT @Tone_Rowdy: How can this country move on from its racist past when it's leaders won't... #OurLivesMatter #SemST	AGAINST
20020	Donald Trump	Dear @realDonaldTrump: You are an idiot. #america #politics #sticktoyourhair #SemST	AGAINST
20021	Donald Trump	@alexisgoldstein @alexfrangos #BusinessMatters @BBCWorldBiz @bbcworldservice midnight gmt #Grexit #Obamacare #ironmaiden #SemST	AGAINST
20022	Donald Trump	Donald Trump inhaled so much air spray & started to believe he is the title holder for the United States. #SemST	NONE
20023	Donald Trump	The Leftist Liberals are starting an internal war within America. #SemST	AGAINST
20024	Donald Trump	.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired #SemST	AGAINST
20025	Donald Trump	For those that are not aware, there is a difference between corporate and personal bankruptcy. Look of Chapter 11 bankruptcy. #SemST	AGAINST
20026	Donald Trump	@peddoc63 @realDonaldTrump So I guess Univision is Fair & Balanced. These are the people that R helping shape USA! #SemST	AGAINST
20027	Donald Trump	#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump #SemST	AGAINST
20028	Donald Trump	@Rebeksy well that's just crazy! Why work? #howdidwegethere #shameful #SemST	FAVOR
20029	Donald Trump	@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need. #SemST	AGAINST
20030	Donald Trump	I am not sure who is coming from other countries but I will assume they must be bad cause I am rich. #SemST	AGAINST
20031	Donald Trump	@BlissTabitha No, stand up for America, fiscal responsibility, strong defense, less transfer of wealth, less government. #SemST	AGAINST
20032	Donald Trump	RT @AhmedtheBanker: Let's not forget @realDonaldTrump lost money running a casino. #SemST	AGAINST
20033	Donald Trump	The media gathered the public like sheep over the rebel flag debate the government passed the fast track authority google it #SemST	AGAINST
